Vatten_ID,EU_CD,AdmUnit,WaterCategory,Region,Type,WB_name,RiverCatchmentSize,RiverSlope,LakeDepthCategory,LakeAlkalinity,LakeHumus,CoastDepthCategory,CoastStratification,CoastSalinity,CoastExposure,CoastResidenceTime,CoastSediment,CoastIceCover,LakeAltitude,AreaAgriculturePct,TPagricultureRefCond,Nutrient_loading,Organic_loading,Acidification,Harmful_substances,Hydrological_changes,Morphological_changes
WA28876706,SE699011-133717,Bottenhavet,RW,Norra Sverige >800 m,4LM,WA28876706,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA28876809,SE629893-153296,Södra Östersjön,RW,Södra Sverige,1MM,Ryssbyån: Torsbäcken - Norrebäcken,100-1000 km2,0.1-2 %,,,,,,,,,,,,6.4,32,No,No,No,Yes,Yes,Yes
WA28880011,SE705959-163517,Bottenhavet,RW,Norra Sverige <200 m,2LB,Pettbäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA28886987,SE703640-143747,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,Stenbäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA28887584,SE636413-133521,Västerhavet,RW,Södra Sverige,1SF,Ätran: sammaflöde med Assman - Östra Frölunda,>1000 km2,<0.1 %,,,,,,,,,,,,15.3,37,No,No,No,Yes,No,Yes
WA28887758,SE717661-694753,Bottenviken,RW,Norra Sverige 200-800 m,3LM,WA28887758,<100 km2,0.1-2 %,,,,,,,,,,,,0.03,44,No,No,No,Yes,No,No
WA28889298,SE670943-139152,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Långtjärnbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,2.37,0,No,No,Yes,Yes,No,Yes
WA28907396,SE682900-148421,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Öjungsån,<100 km2,0.1-2 %,,,,,,,,,,,,0.077,61,No,No,No,Yes,Yes,Yes
WA28913411,SE711699-163202,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Rödingträskbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.041,0,No,No,No,Yes,Yes,Yes
WA28915796,SE741606-169648,Bottenviken,RW,Norra Sverige <200 m,2LM,Tuoljebäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA28923911,SE728879-174240,Bottenviken,RW,Norra Sverige <200 m,2LB,Storbrob.,<100 km2,>2 %,,,,,,,,,,,,1.62,72,No,No,No,Yes,No,Yes
WA28926651,SE731312-616310,Bottenviken,RW,Norra Sverige 200-800 m,3LF,Selakbäcken,<100 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA28940893,SE643799-341190,Västerhavet,RW,Södra Sverige,1LM,Grönå,<100 km2,0.1-2 %,,,,,,,,,,,,15.9,108,Yes,No,Yes,Yes,Yes,Yes
WA28947962,SE640330-143209,Södra Östersjön,RW,Södra Sverige,1LM,Lanån: Skärsjön - Hästsjön,<100 km2,0.1-2 %,,,,,,,,,,,,9.87,38,No,No,No,Yes,Yes,Yes
WA28950446,SE721686-164775,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Rentjärnbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.28,105,No,No,No,Yes,No,Yes
WA28959978,SE734396-183139,Bottenviken,RW,Norra Sverige <200 m,2LM,Myrbersträskbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA28961080,SE628439-152591,Södra Östersjön,RW,Södra Sverige,1LM,Törnebybäcken,<100 km2,0.1-2 %,,,,,,,,,,,,44.7,36,Yes,No,No,Yes,Yes,Yes
WA28974811,SE743101-157258,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Njunjesjåkkå,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,Yes,Yes
WA28979009,SE758154-160452,Bottenviken,RW,Norra Sverige >800 m,4LB,WA28979009,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA28984984,SE698606-152766,Bottenhavet,RW,Norra Sverige 200-800 m,3LF,Bredån,<100 km2,<0.1 %,,,,,,,,,,,,0.022,0,No,No,No,Yes,No,Yes
WA29006334,SE662185-371315,Västerhavet,RW,Södra Sverige,1LB,Masttakebäcken,<100 km2,>2 %,,,,,,,,,,,,0.242,103,No,No,Yes,Yes,No,Yes
WA29017023,SE742600-167235,Bottenviken,RW,Norra Sverige 200-800 m,3MM,Pakkojåkkå,100-1000 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,Yes,Yes
WA29020032,SE655466-158165,Norra Östersjön,RW,Södra Sverige,1MF,Lifsingeån,100-1000 km2,<0.1 %,,,,,,,,,,,,13.6,76,Yes,No,No,Yes,No,Yes
WA29029075,SE705673-165446,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA29029075,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29050870,SE713552-171521,Bottenviken,RW,Norra Sverige <200 m,2MM,Norsån,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.752,32,No,No,Yes,Yes,No,Yes
WA29058222,SE715987-602431,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,WA29058222,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29062293,SE696102-137188,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,WA29062293,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,Yes
WA29091863,SE738060-170619,Bottenviken,RW,Norra Sverige <200 m,2LM,Kåskatsbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.045,86,No,No,No,Yes,No,Yes
WA29092425,SE754481-168201,Bottenviken,RW,Norra Sverige 200-800 m,3SM,Rautasälven,>1000 km2,0.1-2 %,,,,,,,,,,,,0.003,85,No,No,No,Yes,No,No
WA29096797,SE709352-148776,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Nördsjöån,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29108304,SE752792-162326,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Savojåkka,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29114635,SE744281-184679,Bottenviken,RW,Norra Sverige <200 m,2MM,Pentäsjoki,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.403,65,No,No,No,Yes,Yes,Yes
WA29123165,SE733432-168305,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Tvättstugebäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,Yes,Yes
WA29123278,SE725813-167968,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Fräkenträskbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.617,102,No,No,No,Yes,Yes,Yes
WA29128489,SE707872-154357,Bottenhavet,RW,Norra Sverige <200 m,2MM,Rinnån,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.151,37,No,No,No,Yes,Yes,Yes
WA29137425,SE706062-169985,Bottenviken,RW,Norra Sverige <200 m,2LM,Ängerån,<100 km2,0.1-2 %,,,,,,,,,,,,3.69,0,No,No,No,Yes,Yes,Yes
WA29140857,SE699341-137804,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Lövan,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29142277,SE667855-427075,Västerhavet,RW,Norra Sverige 200-800 m,3LM,Örsjöbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,No
WA29151948,SE632865-130564,Västerhavet,RW,Södra Sverige,1LM,Vinån (norra grenen),<100 km2,0.1-2 %,,,,,,,,,,,,37.7,31,Yes,No,No,Yes,Yes,Yes
WA29156911,SE742474-173095,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Ruokojoki,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29160558,SE734600-160472,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Smedkajåkka,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29166662,SE713468-158531,Bottenhavet,RW,Norra Sverige 200-800 m,3MM,Tunnersjöbäcken,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.132,0,No,No,No,Yes,Yes,Yes
WA29168029,SE699835-149981,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,WA29168029,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29170948,SE674882-141640,Bottenhavet,RW,Norra Sverige 200-800 m,3LF,WA29170948,<100 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29174363,SE709035-165331,Bottenhavet,RW,Norra Sverige <200 m,2LM,Stor-Bjurvattsbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.644,77,No,No,Yes,Yes,No,Yes
WA29177517,SE722852-168708,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Granbergsbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.83,102,No,No,No,Yes,No,Yes
WA29179277,SE686291-149891,Bottenhavet,RW,Norra Sverige <200 m,2LM,Holån,<100 km2,0.1-2 %,,,,,,,,,,,,1.54,60,No,No,No,Yes,No,Yes
WA29193486,SE692083-145399,Bottenhavet,RW,Norra Sverige 200-800 m,3MM,Kvarnån,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.004,0,No,No,No,Yes,Yes,Yes
WA29193497,SE718705-157825,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Risbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.152,102,No,No,No,Yes,Yes,Yes
WA29193866,SE664509-147932,Norra Östersjön,RW,Södra Sverige,1MM,Hedströmmen,100-1000 km2,0.1-2 %,,,,,,,,,,,,1.36,60,No,No,No,Yes,Yes,Yes
WA29204295,SE684165-146672,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA29204295,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29208524,SE727810-555057,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Fasnekbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29210232,SE753634-169257,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Tuollujoki,<100 km2,0.1-2 %,,,,,,,,,,,,0.125,0,No,No,No,Yes,No,Yes
WA29211317,SE665203-140976,Västerhavet,RW,Södra Sverige,1MM,Lesjöforsälven - S om Näsrämmen,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.348,162,No,No,Yes,Yes,Yes,Yes
WA29212782,SE700372-131779,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Enan / Äinenjukke / Äjnenjohke,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29215728,SE691146-136898,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Lill-Rånden,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,Yes
WA29221613,SE766654-167624,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Muonioälven,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29228066,SE713338-142360,Bottenhavet,RW,Norra Sverige 200-800 m,3MB,Avansbäcken,100-1000 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29232027,SE663597-150581,Norra Östersjön,RW,Södra Sverige,1LF,&quot;Lanforsån&quot;: Åltjärnen,<100 km2,<0.1 %,,,,,,,,,,,,0.962,64,No,No,No,Yes,No,Yes
WA29237124,SE685209-138946,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Åvasslan,<100 km2,0.1-2 %,,,,,,,,,,,,6.16,48,No,No,Yes,Yes,No,Yes
WA29241173,SE631834-138931,Västerhavet,RW,Södra Sverige,1SF,LAGAN: Lagan - Vidöstern,>1000 km2,<0.1 %,,,,,,,,,,,,9.56,35,No,No,No,Yes,Yes,Yes
WA29247281,SE733562-178885,Bottenviken,RW,Norra Sverige <200 m,2M-,Bjurån,100-1000 km2,,,,,,,,,,,,,0.493,0,No,No,No,Yes,Yes,Yes
WA29256668,SE673903-147148,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,Rällsjöån,<100 km2,>2 %,,,,,,,,,,,,0.782,0,No,No,No,Yes,Yes,Yes
WA29268560,SE631769-142212,Södra Östersjön,RW,Södra Sverige,1LM,TVÄRÅN: Lekarydsån - Vångsnäsmosse,<100 km2,0.1-2 %,,,,,,,,,,,,15.5,45,No,No,No,Yes,Yes,Yes
WA29269662,SE646214-133124,Västerhavet,RW,Södra Sverige,1MF,Afsån - från Getåns inflöde till sammanflöde vid Håkan-Månsgården,100-1000 km2,<0.1 %,,,,,,,,,,,,44.4,38,Yes,No,No,Yes,No,Yes
WA29271919,SE709549-153024,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Staversån,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29280464,SE735387-160630,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Pingobäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29284599,SE705647-138617,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA29284599,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29288984,SE705701-159611,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Lillån,<100 km2,0.1-2 %,,,,,,,,,,,,0.088,0,No,No,No,Yes,Yes,Yes
WA29289655,SE725419-163152,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Skäppträskån,<100 km2,0.1-2 %,,,,,,,,,,,,0.32,142,No,No,No,Yes,Yes,Yes
WA29290743,SE696497-139857,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,Galbäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29297225,SE697401-156232,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Tjäresjöån,<100 km2,0.1-2 %,,,,,,,,,,,,0.159,0,No,No,Yes,Yes,No,Yes
WA29306875,SE732170-144822,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Långfjällbäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29308555,SE670707-148364,Bottenhavet,RW,Norra Sverige <200 m,2LM,Dalbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,33.6,86,Yes,No,No,Yes,Yes,Yes
WA29315067,SE647119-140132,Västerhavet,RW,Södra Sverige,1MF,Tidan - Djurans inflöde till Lillåns inflöde,100-1000 km2,<0.1 %,,,,,,,,,,,,19.9,81,No,No,No,Yes,No,Yes
WA29315942,SE689073-157675,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA29315942,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29321535,SE714644-176759,Bottenviken,RW,Norra Sverige <200 m,2MM,Mångbyån,100-1000 km2,0.1-2 %,,,,,,,,,,,,9.39,0,No,No,No,Yes,No,Yes
WA29323690,SE747847-173522,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Heikkamajoki,<100 km2,0.1-2 %,,,,,,,,,,,,1.42,0,No,No,No,Yes,No,No
WA29345049,SE657451-128897,Västerhavet,RW,Södra Sverige,1LM,Kärrsbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,3.94,96,No,No,No,Yes,No,No
WA29350143,SE705394-163523,Bottenhavet,RW,Norra Sverige <200 m,2LB,Rödtjärnbäcken,<100 km2,>2 %,,,,,,,,,,,,3.59,103,No,No,No,Yes,No,Yes
WA29354912,SE632960-480544,Södra Östersjön,RW,Södra Sverige,1LM,Kavleån,<100 km2,0.1-2 %,,,,,,,,,,,,12.6,43,No,No,No,Yes,No,Yes
WA29363768,SE734462-151154,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Sukkejukke,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29363849,SE666084-154194,Bottenhavet,RW,Norra Sverige <200 m,2MF,Storån,100-1000 km2,<0.1 %,,,,,,,,,,,,15.8,62,Yes,No,No,Yes,No,Yes
WA29367104,SE695689-154654,Bottenhavet,RW,Norra Sverige <200 m,2LB,Pettersbäck,<100 km2,>2 %,,,,,,,,,,,,0.635,112,No,No,No,Yes,No,Yes
WA29371369,SE690015-150987,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA29371369,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29376215,SE739989-185170,Bottenviken,RW,Norra Sverige <200 m,2SF,Torneälven,>1000 km2,<0.1 %,,,,,,,,,,,,0.293,63,No,No,No,Yes,No,No
WA29376218,SE748655-165908,Bottenviken,RW,Norra Sverige 200-800 m,3MF,Riteljåkkå,100-1000 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29377466,SE710681-154031,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Källbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29380500,SE725521-146261,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Båtsjöbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29410528,SE645503-140602,Södra Östersjön,RW,Södra Sverige,1LM,Talavidbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,53.2,28,Yes,No,No,Yes,No,No
WA29412809,SE700187-162064,Bottenhavet,RW,Norra Sverige <200 m,2LM,Backeån,<100 km2,0.1-2 %,,,,,,,,,,,,0.343,0,No,No,Yes,Yes,No,Yes
WA29423011,SE722615-174615,Bottenviken,RW,Norra Sverige <200 m,2LM,Björntjärnbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.034,31,No,No,No,Yes,No,Yes
WA29429036,SE751844-171826,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Bergsmannijoki,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29434358,SE641054-141774,Södra Östersjön,RW,Södra Sverige,1MF,Huskvarnaån: Lillån vid Lekeryd - Ramsjön,100-1000 km2,<0.1 %,,,,,,,,,,,,14.2,50,No,No,No,Yes,Yes,Yes
WA29439310,SE690761-135188,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Fjätan,<100 km2,0.1-2 %,,,,,,,,,,,,1.15,46,No,No,No,Yes,No,No
WA29439378,SE715299-158081,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Kallkällmyrbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29446415,SE660207-143407,Västerhavet,RW,Södra Sverige,1SM,Svartälven mellan Halvarsnoren och Skärjen,>1000 km2,0.1-2 %,,,,,,,,,,,,0.423,27,No,No,No,Yes,Yes,Yes
WA29457077,SE706135-133015,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,WA29457077,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29466302,SE652823-154824,Norra Östersjön,RW,Södra Sverige,1SF,Skräddartorpsån,>1000 km2,<0.1 %,,,,,,,,,,,,13.4,83,Yes,No,No,Yes,No,Yes
WA29468283,SE710803-170132,Bottenviken,RW,Norra Sverige <200 m,2LM,Djupbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,3.22,75,No,No,No,Yes,Yes,Yes
WA29476459,SE744326-159420,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Kallakjåkkå,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29481182,SE654152-150084,Norra Östersjön,RW,Södra Sverige,1LF,Vattendraget från Marsjön till Tisnaren,<100 km2,<0.1 %,,,,,,,,,,,,24.3,40,Yes,No,No,Yes,No,Yes
WA29484760,SE639998-336986,Västerhavet,RW,Södra Sverige,1LM,Alebäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,Yes
WA29490893,SE698872-131777,Bottenhavet,RW,Norra Sverige >800 m,4LB,WA29490893,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29492605,SE743125-185519,Bottenviken,RW,Norra Sverige <200 m,2LM,Puruoja,<100 km2,0.1-2 %,,,,,,,,,,,,0.518,63,No,No,No,Yes,No,No
WA29501524,SE707062-150779,Bottenhavet,RW,Norra Sverige 200-800 m,3MM,Malmån,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.062,0,No,No,No,Yes,Yes,Yes
WA29504979,SE670259-157364,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA29504979,<100 km2,0.1-2 %,,,,,,,,,,,,0.24,68,No,No,No,Yes,Yes,Yes
WA29519908,SE669138-140479,Västerhavet,RW,Norra Sverige 200-800 m,3LM,Svartälven,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,No
WA29521186,SE741309-154839,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Njarkalisjåkkå,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29537908,SE737280-166867,Bottenviken,RW,Norra Sverige 200-800 m,3LF,Appokälven,<100 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29546625,SE685961-131816,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Jonassjöbrunnan,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29547609,SE697409-141838,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA29547609,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,No
WA29555086,SE700191-140421,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Storbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29560139,SE681821-153349,Bottenhavet,RW,Norra Sverige <200 m,2LB,Flybäcken,<100 km2,>2 %,,,,,,,,,,,,0.074,65,No,No,No,Yes,No,Yes
WA29561811,SE663319-130676,Västerhavet,RW,Södra Sverige,1LM,Kunttjärnsälven,<100 km2,0.1-2 %,,,,,,,,,,,,13.5,0,Yes,No,No,Yes,Yes,Yes
WA29563158,SE751895-158238,Bottenviken,RW,Norra Sverige 200-800 m,3SM,Vietasätno,>1000 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,Yes,No
WA29566518,SE666683-139693,Västerhavet,RW,Norra Sverige 200-800 m,3LM,Sandsjöälven,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,Yes,Yes
WA29568431,SE630182-133874,Västerhavet,RW,Södra Sverige,1LM,Skifteboån,<100 km2,0.1-2 %,,,,,,,,,,,,4.28,32,No,No,Yes,Yes,No,Yes
WA29568984,SE713344-165530,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Vittanbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.015,0,No,No,No,Yes,Yes,Yes
WA29569360,SE698580-154311,Bottenhavet,RW,Norra Sverige <200 m,2SM,Indalsälven,>1000 km2,0.1-2 %,,,,,,,,,,,,1.7,153,No,No,No,Yes,Yes,Yes
WA29574894,SE719283-164017,Bottenviken,RW,Norra Sverige 200-800 m,3LF,Alträskbäcken,<100 km2,<0.1 %,,,,,,,,,,,,0.148,52,No,No,No,Yes,No,Yes
WA29577088,SE737685-184945,Bottenviken,RW,Norra Sverige <200 m,2MF,Armasjoki,100-1000 km2,<0.1 %,,,,,,,,,,,,0.668,63,No,No,No,Yes,No,No
WA29588860,SE702179-158665,Bottenhavet,RW,Norra Sverige <200 m,2MM,Rävsjöån,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.451,163,No,No,Yes,Yes,Yes,Yes
WA29596042,SE715928-152658,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,Stendalsbäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29600963,SE715565-145441,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA29600963,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29603549,SE640429-129647,Västerhavet,RW,Södra Sverige,1LM,Dala å,<100 km2,0.1-2 %,,,,,,,,,,,,1.8,38,No,No,Yes,Yes,No,Yes
WA29606797,SE642251-154208,Södra Östersjön,RW,Södra Sverige,1MF,Loftaån: mynningen Gudingen - Kumlabäcken,100-1000 km2,<0.1 %,,,,,,,,,,,,15.2,81,Yes,No,No,Yes,Yes,Yes
WA29607474,SE715016-143022,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Storbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29608694,SE667304-152465,Bottenhavet,RW,Norra Sverige <200 m,2LF,WA29608694,<100 km2,<0.1 %,,,,,,,,,,,,21,84,Yes,No,No,Yes,No,No
WA29612602,SE749045-163716,Bottenviken,RW,Norra Sverige 200-800 m,3MM,Luottojåkkå,100-1000 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29621703,SE725620-172195,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Finnbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29628741,SE753508-164940,Bottenviken,RW,Norra Sverige 200-800 m,3LB,WA29628741,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29628797,SE753239-170664,Bottenviken,RW,Norra Sverige 200-800 m,3LB,WA29628797,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29637690,SE729717-155108,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Jipmokbäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29653621,SE759402-163775,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Vakkejåkka,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29654261,SE693587-143096,Bottenhavet,RW,Norra Sverige 200-800 m,3SF,Ljungan,>1000 km2,<0.1 %,,,,,,,,,,,,0.729,0,No,No,No,Yes,Yes,Yes
WA29658360,SE677133-149076,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Tvärån,<100 km2,0.1-2 %,,,,,,,,,,,,0.184,125,No,No,No,Yes,No,Yes
WA29664648,SE741489-161627,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Luokajåkkå,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29667253,SE714879-149653,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Jenmyrbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA29681151,SE722771-152526,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Åsvattenbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29682924,SE690186-151203,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Naggbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA29688555,SE629033-140377,Södra Östersjön,RW,Södra Sverige,1MF,LILLA HELGE Å: Möckeln - Målasjön,100-1000 km2,<0.1 %,,,,,,,,,,,,3.38,43,No,No,Yes,Yes,Yes,Yes
