Vatten_ID,EU_CD,AdmUnit,WaterCategory,Region,Type,WB_name,RiverCatchmentSize,RiverSlope,LakeDepthCategory,LakeAlkalinity,LakeHumus,CoastDepthCategory,CoastStratification,CoastSalinity,CoastExposure,CoastResidenceTime,CoastSediment,CoastIceCover,LakeAltitude,AreaAgriculturePct,TPagricultureRefCond,Nutrient_loading,Organic_loading,Acidification,Harmful_substances,Hydrological_changes,Morphological_changes
WA10187436,SE705269-137796,Bottenhavet,RW,Norra Sverige 200-800 m,3LF,WA10187436,<100 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10207661,SE623666-146141,Södra Östersjön,RW,Södra Sverige,1MM,VIERYDSÅN: Nässjön - Fröjdadalsbäcken,100-1000 km2,0.1-2 %,,,,,,,,,,,,12.6,62,Yes,No,No,Yes,No,No
WA10212324,SE670293-147112,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA10212324,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10213377,SE624123-136639,Södra Östersjön,RW,Södra Sverige,1LM,Hörlingeån: Rökeån - Källa,<100 km2,0.1-2 %,,,,,,,,,,,,11.7,30,No,No,No,Yes,Yes,Yes
WA10217253,SE723800-147635,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Bäverbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10222188,SE709357-134647,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA10222188,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10225101,SE678964-147792,Bottenhavet,RW,Norra Sverige 200-800 m,3MM,Lillälven,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.05,60,No,No,No,Yes,Yes,Yes
WA10225217,SE744450-155830,Bottenviken,RW,Norra Sverige 200-800 m,3MM,Lilla Luleälven,100-1000 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10227463,SE691733-157614,Bottenhavet,RW,Norra Sverige <200 m,2LB,Bodbäcken,<100 km2,>2 %,,,,,,,,,,,,1.84,161,No,No,No,Yes,No,Yes
WA10234516,SE731300-157813,Bottenviken,RW,Norra Sverige 200-800 m,3LM,Selakbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.127,0,No,No,No,Yes,No,No
