Vatten_ID,EU_CD,County,County_no
WA92079178,SE662790-164452,Stockholm,01
WA92079697,SE722993-162986,Västerbotten,24
WA92083290,SE705944-152099,Västernorrland,22
WA92089947,SE749649-821311,Norrbotten,25
WA92096963,SE726581-171565,Norrbotten,25
WA92099448,SE710182-142260,Jämtland,23
WA92099470,SE657157-131202,Värmland,17
WA92102425,SE667194-156117,Uppsala,03
WA92108864,SE734770-149273,Västerbotten,24
WA92109984,SE711120-163730,Västerbotten,24
WA92118635,SE708160-172856,Västerbotten,24
WA92124777,SE685854-153310,Gävleborg,21
WA92143957,SE670025-147454,Dalarna,20
WA92153847,SE635364-164621,Gotland,09
WA92168951,SE675601-140594,Dalarna,20
WA92203448,SE727298-165792,Norrbotten,25
WA92209580,SE683623-135695,Dalarna,20
WA92212452,SE634683-142626,Jönköping,06
WA92225577,SE645545-144299,Östergötland,05
WA92226815,SE706527-167222,Västerbotten,24
WA92229352,SE644572-148848,Östergötland,05
WA92232207,SE632641-132794,Halland,13
WA92233887,SE665233-158531,Uppsala,03
WA92245626,SE733586-170764,Norrbotten,25
WA92251628,SE742134-179805,Norrbotten,25
WA92259964,SE704028-160512,Västernorrland,22
WA92263400,SE744355-162844,Norrbotten,25
WA92264409,SE626009-149915,Kalmar,08
WA92269201,SE651106-127168,Västra Götaland,14
WA92282968,SE670901-150203,Dalarna,20
WA92289650,SE664635-148434,Västmanland,19
WA92291274,SE692446-145611,Västernorrland,22
WA92310018,SE721996-695919,Västerbotten,24
WA92312753,SE726261-150125,Västerbotten,24
WA92320811,SE691056-143498,Jämtland,23
WA92328642,SE731934-169402,Norrbotten,25
WA92329589,SE665425-148922,Dalarna,20
WA92334950,SE671930-152489,Gävleborg,21
WA92339192,SE722382-174108,Västerbotten,24
WA92354536,SE681916-156591,Gävleborg,21
WA92355036,SE702464-151966,Jämtland,23
WA92355036,SE702464-151966,Västernorrland,22
WA92357275,SE623379-142057,Skåne,12
WA92357275,SE623379-142057,Blekinge,10
WA92374988,SE631492-135197,Halland,13
WA92386046,SE726073-174262,Norrbotten,25
WA92391817,SE753526-169613,Norrbotten,25
WA92392811,SE647585-133833,Västra Götaland,14
WA92396203,SE645961-154961,Östergötland,05
WA92402811,SE642347-148429,Östergötland,05
WA92405420,SE701230-147638,Jämtland,23
WA92408474,SE711374-143341,Jämtland,23
WA92409682,SE703186-158436,Västernorrland,22
WA92416950,SE692174-151475,Västernorrland,22
WA92418875,SE683640-488450,Gävleborg,21
WA92419474,SE639373-136015,Västra Götaland,14
WA92422313,SE708578-168244,Västerbotten,24
WA92426281,SE645408-155061,Östergötland,05
