Vatten_ID,EU_CD,County,County_no
WA88807211,SE675090-574629,Gävleborg,21
WA88815250,SE695334-152757,Västernorrland,22
WA88816639,SE638271-138410,Jönköping,06
WA88816808,SE687575-146973,Gävleborg,21
WA88818402,SE733676-168625,Norrbotten,25
WA88818604,SE751149-159786,Norrbotten,25
WA88821919,SE754711-176202,Norrbotten,25
WA88823504,SE727928-169901,Norrbotten,25
WA88826669,SE727003-505108,Västerbotten,24
WA88838445,SE667964-147608,Dalarna,20
WA88838616,SE626755-134846,Halland,13
WA88841322,SE733476-147420,Västerbotten,24
WA88844944,SE698903-159324,Västernorrland,22
WA88847443,SE722485-176289,Västerbotten,24
WA88856607,SE745596-184578,Norrbotten,25
WA88863109,SE751700-154902,Norrbotten,25
WA88867273,SE707212-171025,Västerbotten,24
WA88871542,SE735969-160920,Norrbotten,25
WA88877451,SE722501-746550,Västerbotten,24
WA88878713,SE709332-170040,Västerbotten,24
WA88887786,SE722620-502796,Västerbotten,24
WA88890105,SE710943-166448,Västerbotten,24
WA88891341,SE702533-143412,Jämtland,23
WA88892522,SE735764-175045,Norrbotten,25
WA88908548,SE725403-169420,Västerbotten,24
WA88914726,SE678687-153647,Gävleborg,21
WA88915859,SE709557-170877,Västerbotten,24
WA88916610,SE635928-145938,Jönköping,06
WA88923094,SE686484-140498,Jämtland,23
WA88923173,SE649609-152033,Östergötland,05
WA88923898,SE746649-174846,Norrbotten,25
WA88926685,SE723665-155788,Västerbotten,24
WA88932876,SE652841-155342,Södermanland,04
