Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,TrophicMacrophyteIndex
WA87125050,SE651578-146163,Grissjön,Grissjön,,,2018-07-10,,SLU,,8.288
WA93761109,SE647050-130644,Alsjön,Alsjön,,,2016-09-02,,SLU,,8.4
WA39243328,SE708512-152086,Degervattnet,Degervattnet,,,2016-08-31,,SLU,,8.091
WA96665485,SE650061-142276,Humsjön,Humsjön,,,2014-06-26,,SLU,,8.216
WA25599103,SE706083-132287,Stor-Björsjön,Stor-Björsjön,,,2012-08-02,,SLU,,8.328
WA25599103,SE706083-132287,Stor-Björsjön,Stor-Björsjön,,,2018-08-02,,SLU,,8.319
WA48440228,SE686849-145214,Sangen,Sangen,,,2016-07-26,,SLU,,8.259
WA51284243,SE695220-143383,Stor-Backsjön,Stor-Backsjön,,,2015-08-17,,SLU,,8.386
WA27767103,SE655863-129783,Västra Solsjön,Västra Solsjön,,,2015-07-01,,SLU,,8.42
WA18225072,SE660688-164478,Tärnan,Tärnan,,,2015-06-27,,SLU,,7.828
WA18431640,SE637121-151366,Tängersjö,Tängersjö,,,2016-09-06,,SLU,,8.358
WA41982859,SE638725-146677,Fjärasjö,Fjärasjö,,,2013-08-03,,SLU,,8.186
WA66869503,SE736804-160569,Louvvajaure,Louvvajaure,,,2014-08-17,,SLU,,8.038
WA55325208,SE744629-167999,Jutsajaure,Jutsajaure,,,2015-08-20,,SLU,,8.417
WA93182800,SE690617-134197,Övre Fjätsjön,Övre Fjätsjön,,,2014-08-13,,SLU,,8.716
WA21335710,SE742829-183168,Pahajärvi,Pahajärvi,,,2015-08-22,,SLU,,8.271
WA90290627,SE690345-149315,Tväringen,Tväringen,,,2017-08-07,,SLU,,8.128
WA64907980,SE709218-169710,Sidensjön,Sidensjön,,,2012-07-27,,SLU,,8.169
WA64907980,SE709218-169710,Sidensjön,Sidensjön,,,2018-07-25,,SLU,,8.453
WA64588793,SE656263-156963,Djupa Holmsjön,Djupa Holmsjön,,,2012-08-09,,SLU,,8.189
WA64588793,SE656263-156963,Djupa Holmsjön,Djupa Holmsjön,,,2018-08-15,,SLU,,8.127
WA42150382,SE673534-153381,Långsjön,Långsjön,,,2016-07-13,,SLU,,7.843
WA64825705,SE635878-137392,Hagasjön,Hagasjön,,,2016-07-18,,SLU,,8.143
WA58439062,SE651558-143620,Fagertärn,Fagertärn,,,2013-08-16,,SLU,,7.818
WA70448628,SE683673-154083,Stensjön,Stensjön,,,2014-08-27,,SLU,,8.333
WA20127072,SE677506-156174,Gosjön,Gosjön,,,2015-06-24,,SLU,,7.06
WA17667097,SE691365-156127,V. Rännöbodsjön,V. Rännöbodsjön,,,2012-08-03,,SLU,,8.007
WA28784510,SE713404-172465,Bjännsjön,Bjännsjön,,,2017-07-20,,SLU,,7.841
WA29045099,SE758208-161749,Abiskojaure,Abiskojaure,,,2014-08-19,,SLU,,8.252
WA41975577,SE731799-151196,Stor-Tjulträsket,Stor-Tjulträsket,,,2015-08-19,,SLU,,8.602
WA92239891,SE615375-137087,Krageholmssjön,Krageholmssjön,,,2017-07-13,,SLU,,4.188
WA64322958,SE713131-144608,Dunnervattnet,Dunnervattnet,,,2014-08-14,,SLU,,7.968
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2012-08-02,,SLU,,5.506
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2013-08-31,,SLU,,5.658
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2014-08-29,,SLU,,5.617
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2015-06-26,,SLU,,5.204
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2016-07-11,,SLU,,5.42
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2017-08-02,,SLU,,5.443
WA17184339,SE660749-161885,Fysingen,Fysingen,,,2018-08-15,,SLU,,5.92
WA21110270,SE655380-155738,Lillsjön,Lillsjön,,,2016-08-24,,SLU,,6.049
WA44530315,SE652177-159038,Rundbosjön,Rundbosjön,,,2012-08-09,,SLU,,5.629
WA44530315,SE652177-159038,Rundbosjön,Rundbosjön,,,2018-08-14,,SLU,,6.228
WA66779230,SE637120-145525,Tångerdasjön,Tångerdasjön,,,2014-06-27,,SLU,,6.893
WA14564967,SE642555-168553,Bästeträsk,Bästeträsk,,,2015-08-29,,SLU,,6.031
WA56806681,SE615365-134524,Havgårdssjön,Havgårdssjön,,,2012-06-21,,SLU,,5.214
WA56806681,SE615365-134524,Havgårdssjön,Havgårdssjön,,,2013-07-16,,SLU,,5.215
WA56806681,SE615365-134524,Havgårdssjön,Havgårdssjön,,,2014-09-03,,SLU,,5.287
WA56806681,SE615365-134524,Havgårdssjön,Havgårdssjön,,,2015-06-29,,SLU,,4.876
WA56806681,SE615365-134524,Havgårdssjön,Havgårdssjön,,,2016-07-20,,SLU,,5.069
WA94704410,SE617797-135339,Krankesjön,Krankesjön,,,2015-06-30,,SLU,,4.371
WA42884377,SE650398-139136,Ymsen,Ymsen,,,2013-07-07,,SLU,,6.621
WA38386938,SE663907-156927,Ekholmssjön,Ekholmssjön,,,2012-07-31,,SLU,,7.261
WA38386938,SE663907-156927,Ekholmssjön,Ekholmssjön,,,2018-08-29,,SLU,,7.209
WA89985235,SE712246-170866,Ögerträsket,Ögerträsket,,,2012-07-26,,SLU,,8.5
WA89985235,SE712246-170866,Ögerträsket,Ögerträsket,,,2018-07-26,,SLU,,8.588
WA91168817,SE640609-148673,Skärgölen,Skärgölen,,,2017-07-27,,SLU,,8.422
WA25839981,SE642008-168013,Horsan,Horsan,,,2014-07-14,,SLU,,3.667
WA35901648,SE651609-140839,Svartsjön,Svartsjön,,,2012-08-07,,SLU,,7.692
WA35901648,SE651609-140839,Svartsjön,Svartsjön,,,2018-07-12,,SLU,,7.692
WA43691040,SE661206-147901,Ämten,Ämten,,,2015-07-04,,SLU,,8.5
WA99627860,SE706672-167201,Svartvattnet,Svartvattnet,,,2014-08-26,,SLU,,8.741
WA38760283,SE728271-157578,Storvindeln,Storvindeln,,,2015-08-19,,SLU,,8.438
WA33559863,SE642122-148744,Glimmingen,Glimmingen,,,2016-08-25,,SLU,,8.015
WA96539378,SE742442-153530,Båtkåjaure,Båtkåjaure,,,2014-08-16,,SLU,,8.804
,SE698860-135948,Tronntjärnarna,Tronntjärnarna,,,2012-08-04,,SLU,,8.105
,SE698860-135948,Tronntjärnarna,Tronntjärnarna,,,2018-08-08,,SLU,,9
WA20212661,SE700796-136901,Östra Helgtjärnen,Östra Helgtjärnen,,,2016-07-29,,SLU,,8.493
WA48463242,SE698735-139620,Gåtejaure,Gåtejaure,,,2017-08-10,,SLU,,8.822
WA84032761,SE698561-139682,Vuolejaure,Vuolejaure,,,2017-08-08,,SLU,,8.822
WA48721021,SE718150-168580,Vitträsket,Vitträsket,,,2015-08-24,,SLU,,8.375
WA24034604,SE730091-165102,Norra Reivo,Norra Reivo,,,2017-07-24,,SLU,,8.145
WA73183242,SE662709-160136,Ekoln Vreta Udd,Ekoln Vreta Udd,,,2018-07-04,,SLU,,5.748
WA11895268,SE659036-160984,Görväln S,Görväln S,,,2018-07-04,,SLU,,6.058
WA89970645,SE657562-159772,S. Björkfjärden SO,S. Björkfjärden SO,,,2018-07-05,,SLU,,6.385
WA54241959,SE659180-152170,Galten,Galten,,,2018-07-03,,SLU,,6.755
WA47011330,SE651196-137852,Mariestadsviken  M1,Mariestadsviken  M1,,,2018-09-04,,SLU,,7.399
WA30734257,SE707027-154763,Betarsjön,Betarsjön,,,2013-09-03,,SLU,,8.043
WA54353600,SE693797-159720,Storsjön,Storsjön,,,2014-08-08,,SLU,,8.189
WA86130323,SE694291-154626,Navarn,Navarn,,,2014-09-04,,SLU,,9
WA61726129,SE706041-157858,S. Bergsjön,S. Bergsjön,,,2012-08-22,,SLU,,8.408
WA61726129,SE706041-157858,S. Bergsjön,S. Bergsjön,,,2015-08-20,,SLU,,8.409
WA24809778,SE692866-154650,Gransjön,Gransjön,,,2012-08-22,,SLU,,8
