Vatten_ID,EU_CD,Municipality,Municipality_no
WA46779039,SE744412-180549,Pajala,2521
WA46784307,SE727718-152349,Storuman,2421
WA46786434,SE647816-149577,Linköping,0580
WA46794115,SE650407-126419,Munkedal,1430
WA46797427,SE754688-169239,Kiruna,2584
WA46801044,SE721051-171055,Skellefteå,2482
WA46804593,SE726756-162730,Arvidsjaur,2505
WA46811822,SE677517-153598,Bollnäs,2183
WA46817450,SE758870-163325,Kiruna,2584
WA46828004,SE720412-141837,Strömsund,2313
WA46829368,SE700961-145577,Östersund,2380
WA46838843,SE725160-161023,Sorsele,2422
WA46850102,SE658754-128381,Årjäng,1765
WA46852360,SE753173-158599,Gällivare,2523
WA46852984,SE691262-149257,Ljusdal,2161
WA46863772,SE757562-171333,Kiruna,2584
WA46863942,SE629111-144192,Växjö,0780
WA46876588,SE698579-145913,Bräcke,2305
WA46876588,SE698579-145913,Östersund,2380
WA46883835,SE637661-153064,Oskarshamn,0882
WA46885985,SE677754-466209,Mora,2062
WA46894310,SE694648-131473,Härjedalen,2361
WA46895591,SE708435-138025,Krokom,2309
WA46895591,SE708435-138025,Åre,2321
WA46897353,SE713363-169906,Vindeln,2404
WA46898739,SE737403-162638,Arjeplog,2506
WA46900157,SE666557-154249,Sala,1981
WA46907304,SE642553-138502,Mullsjö,0642
WA46908795,SE749599-172303,Gällivare,2523
WA46911875,SE696341-152608,Bräcke,2305
WA46911947,SE662194-157619,Enköping,0381
WA46916454,SE755376-177634,Kiruna,2584
WA46927349,SE684611-154338,Hudiksvall,2184
WA46929570,SE704922-139239,Krokom,2309
WA46941061,SE647066-147465,Linköping,0580
WA46941061,SE647066-147465,Mjölby,0586
WA46944208,SE696728-152427,Bräcke,2305
WA46948021,SE692982-152160,Ånge,2260
WA46954679,SE707075-160009,Örnsköldsvik,2284
WA46962598,SE681913-154423,Bollnäs,2183
WA46963544,SE709668-524786,Strömsund,2313
WA46975919,SE682123-145337,Ljusdal,2161
WA46979373,SE701344-133612,Åre,2321
WA46979802,SE699389-158750,Kramfors,2282
WA46980067,SE742458-151407,Arjeplog,2506
WA46995764,SE701846-162891,Örnsköldsvik,2284
WA46995851,SE746504-162246,Jokkmokk,2510
WA46997940,SE689116-149186,Ljusdal,2161
WA46999165,SE753557-165995,Kiruna,2584
WA47000629,SE638177-491523,Nässjö,0682
WA47004166,SE645267-542724,Linköping,0580
WA47012904,SE739553-177195,Gällivare,2523
WA47014737,SE677632-157331,Söderhamn,2182
WA47015932,SE688303-140081,Härjedalen,2361
WA47020244,SE659791-132174,Arvika,1784
WA47024824,SE737476-164080,Jokkmokk,2510
WA47025798,SE706741-170702,Umeå,2480
WA47026972,SE703699-162700,Örnsköldsvik,2284
WA47032397,SE737551-167170,Jokkmokk,2510
WA47039710,SE668629-142015,Vansbro,2021
WA47041323,SE651838-148838,Finspång,0562
WA47042226,SE694655-149123,Bräcke,2305
WA47042226,SE694655-149123,Ånge,2260
WA47042937,SE689212-137566,Härjedalen,2361
WA47044069,SE732144-619764,Arjeplog,2506
WA47052671,SE648050-147855,Linköping,0580
WA47090330,SE744765-154259,Jokkmokk,2510
WA47093693,SE709466-136521,Åre,2321
WA47097222,SE667594-136524,Hagfors,1783
WA47115049,SE753680-178929,Kiruna,2584
WA47115049,SE753680-178929,Pajala,2521
WA47116187,SE716285-176486,Skellefteå,2482
WA47120663,SE637443-150366,Hultsfred,0860
WA47125376,SE716615-170179,Skellefteå,2482
WA47131326,SE685348-135800,Älvdalen,2039
WA47134970,SE703374-162104,Örnsköldsvik,2284
WA47135736,SE681845-156164,Hudiksvall,2184
WA47147961,SE717692-175538,Skellefteå,2482
WA47151877,SE638031-152634,Oskarshamn,0882
WA47151877,SE638031-152634,Vimmerby,0884
WA47159836,SE668335-150132,Hedemora,2083
WA47172045,SE721714-172209,Skellefteå,2482
WA47172452,SE709937-163035,Bjurholm,2403
WA47203023,SE709026-166646,Bjurholm,2403
WA47207726,SE755622-181815,Pajala,2521
WA47210275,SE628951-132620,Halmstad,1380
WA47216682,SE712366-169574,Vindeln,2404
WA47217169,SE667413-508760,Ludvika,2085
WA47218831,SE711742-142614,Krokom,2309
WA47219453,SE735212-168514,Jokkmokk,2510
WA47225757,SE736401-158662,Arjeplog,2506
WA47230247,SE731846-178444,Boden,2582
WA47230247,SE731846-178444,Luleå,2580
WA47234937,SE691427-156408,Sundsvall,2281
WA47239175,SE633677-132685,Falkenberg,1382
WA47240457,SE644997-563253,Åtvidaberg,0561
WA47245695,SE719461-150093,Vilhelmina,2462
WA47255150,SE641566-378200,Borås,1490
WA47255150,SE641566-378200,Herrljunga,1466
WA47259863,SE701324-610543,Sollefteå,2283
WA47279697,SE682237-156652,Hudiksvall,2184
WA47282462,SE636526-146412,Vetlanda,0685
WA47299183,SE688465-153045,Hudiksvall,2184
WA47307511,SE754674-178035,Kiruna,2584
WA47311604,SE674957-153222,Ockelbo,2101
WA47313301,SE622899-137257,Hässleholm,1293
WA47335997,SE715949-143346,Strömsund,2313
WA47338851,SE737663-160901,Arjeplog,2506
WA47339430,SE714428-171815,Skellefteå,2482
WA47348827,SE633475-145952,Uppvidinge,0760
WA47348897,SE762482-167894,Kiruna,2584
WA47349226,SE699467-134116,Åre,2321
WA47349376,SE698986-154546,Ragunda,2303
WA47371477,SE757401-168143,Kiruna,2584
WA47371968,SE650074-147053,Motala,0583
WA47378216,SE701177-145058,Östersund,2380
WA47385039,SE637550-139973,Vaggeryd,0665
WA47388914,SE687490-525108,Ljusdal,2161
WA47390262,SE677407-154380,Ockelbo,2101
WA47408614,SE716782-168536,Vindeln,2404
WA47410521,SE684062-136463,Älvdalen,2039
WA47410920,SE695394-160855,Härnösand,2280
WA47419535,SE710758-674866,Åsele,2463
