Vatten_ID,EU_CD,Municipality,Municipality_no
WA10000460,SE707521-169817,Umeå,2480
WA10003310,SE684488-154313,Hudiksvall,2184
WA10004132,SE713248-142620,Krokom,2309
WA10006361,SE752894-154853,Gällivare,2523
WA10006361,SE752894-154853,Jokkmokk,2510
WA10006388,SE683489-433245,Härjedalen,2361
WA10006388,SE683489-433245,Älvdalen,2039
WA10016904,SE745566-155325,Jokkmokk,2510
WA10031625,SE732341-668218,Arvidsjaur,2505
WA10036090,SE766132-167880,Kiruna,2584
WA10039596,SE654853-472812,Degerfors,1862
WA10039596,SE654853-472812,Laxå,1860
WA10045242,SE687655-153299,Hudiksvall,2184
WA10047346,SE749406-183566,Pajala,2521
WA10067812,SE731363-152727,Sorsele,2422
WA10083363,SE716831-591418,Vilhelmina,2462
WA10083840,SE625021-146874,Karlskrona,1080
WA10083840,SE625021-146874,Ronneby,1081
WA10097783,SE683282-141489,Mora,2062
WA10098770,SE643396-151423,Västervik,0883
WA10113838,SE677627-152641,Bollnäs,2183
WA10118775,SE731415-172402,Älvsbyn,2560
WA10123882,SE749156-172485,Gällivare,2523
WA10130871,SE692669-151353,Ånge,2260
WA10135226,SE686102-153144,Hudiksvall,2184
WA10141921,SE672383-149802,Falun,2080
WA10149665,SE662498-142495,Hällefors,1863
WA10157564,SE627598-155069,Mörbylånga,0840
WA10158032,SE703989-161568,Örnsköldsvik,2284
WA10159658,SE699040-151141,Bräcke,2305
WA10168227,SE694234-447683,Berg,2326
WA10168227,SE694234-447683,Härjedalen,2361
WA10176945,SE655132-158452,Gnesta,0461
WA10177622,SE728526-172392,Älvsbyn,2560
WA10178882,SE646523-126170,Orust,1421
WA10187436,SE705269-137796,Åre,2321
WA10207661,SE623666-146141,Ronneby,1081
WA10212324,SE670293-147112,Borlänge,2081
WA10213377,SE624123-136639,Hässleholm,1293
WA10217253,SE723800-147635,Vilhelmina,2462
WA10222188,SE709357-134647,Åre,2321
WA10225101,SE678964-147792,Rättvik,2031
WA10225217,SE744450-155830,Jokkmokk,2510
WA10227463,SE691733-157614,Sundsvall,2281
WA10234516,SE731300-157813,Arjeplog,2506
WA10237318,SE693320-131640,Härjedalen,2361
WA10249061,SE652923-127391,Dals-Ed,1438
WA10250651,SE680175-143910,Orsa,2034
WA10255664,SE696927-150860,Bräcke,2305
WA10261414,SE705030-150937,Sollefteå,2283
WA10261881,SE714736-172235,Skellefteå,2482
WA10273223,SE719474-147431,Dorotea,2425
WA10274907,SE696564-131818,Berg,2326
WA10274907,SE696564-131818,Härjedalen,2361
WA10278414,SE700438-162403,Kramfors,2282
WA10281143,SE673398-156415,Gävle,2180
WA10281954,SE641311-540291,Kinda,0513
WA10281954,SE641311-540291,Vimmerby,0884
WA10285737,SE740511-169258,Jokkmokk,2510
WA10285762,SE645579-545305,Linköping,0580
WA10307970,SE644938-126767,Stenungsund,1415
WA10316118,SE657689-130989,Säffle,1785
WA10316118,SE657689-130989,Årjäng,1765
WA10319618,SE689351-151308,Ljusdal,2161
WA10319851,SE694385-154692,Sundsvall,2281
WA10321345,SE703385-140025,Krokom,2309
WA10325141,SE658785-132156,Säffle,1785
WA10329647,SE651820-150874,Finspång,0562
WA10329824,SE669158-161258,Tierp,0360
WA10330254,SE657638-494464,Örebro,1880
WA10339072,SE693055-152381,Ånge,2260
WA10341946,SE685812-147753,Ljusdal,2161
WA10343395,SE749607-179945,Pajala,2521
WA10349621,SE746982-155924,Jokkmokk,2510
WA10350574,SE676283-151495,Falun,2080
WA10355693,SE756528-162865,Kiruna,2584
WA10357088,SE710524-145821,Krokom,2309
WA10357088,SE710524-145821,Strömsund,2313
WA10358524,SE708938-165378,Bjurholm,2403
WA10364650,SE705075-162577,Örnsköldsvik,2284
WA10366671,SE707183-162255,Örnsköldsvik,2284
WA10371274,SE669956-156563,Gävle,2180
WA10378595,SE711139-152972,Strömsund,2313
WA10378924,SE676548-152051,Bollnäs,2183
WA10378924,SE676548-152051,Ockelbo,2101
WA10394387,SE698916-141992,Berg,2326
WA10399443,SE633618-153971,Mönsterås,0861
WA10399443,SE633618-153971,Oskarshamn,0882
WA10410879,SE706303-404909,Åre,2321
WA10411696,SE733269-185542,Haparanda,2583
WA10412617,SE732243-180487,Luleå,2580
WA10413554,SE684688-150194,Ljusdal,2161
WA10447721,SE652051-325079,Dals-Ed,1438
WA10447721,SE652051-325079,Färgelanda,1439
WA10451028,SE670314-157839,Gävle,2180
WA10451028,SE670314-157839,Tierp,0360
WA10458278,SE675364-145110,Mora,2062
WA10458278,SE675364-145110,Rättvik,2031
WA10466718,SE720984-173258,Skellefteå,2482
WA10468729,SE760838-170746,Kiruna,2584
WA10486629,SE662054-136712,Forshaga,1763
WA10486629,SE662054-136712,Munkfors,1762
WA10487150,SE674475-150650,Falun,2080
WA10512266,SE668987-145738,Ludvika,2085
WA10515681,SE714022-165630,Vindeln,2404
WA10516849,SE731122-145061,Storuman,2421
WA10524491,SE738870-182591,Överkalix,2513
WA10524491,SE738870-182591,Övertorneå,2518
WA10536522,SE733270-173773,Boden,2582
WA10541125,SE685812-155645,Hudiksvall,2184
WA10542023,SE737306-180536,Överkalix,2513
WA10542954,SE681578-156586,Hudiksvall,2184
WA10546548,SE762904-172417,Kiruna,2584
WA10557444,SE737890-161196,Arjeplog,2506
WA10558687,SE673140-142051,Mora,2062
WA10558687,SE673140-142051,Vansbro,2021
WA10558766,SE672632-153782,Sandviken,2181
WA10559559,SE641160-333874,Göteborg,1480
WA10559559,SE641160-333874,Lerum,1441
WA10582743,SE670933-140127,Vansbro,2021
WA10601480,SE705795-145194,Krokom,2309
WA10601480,SE705795-145194,Strömsund,2313
WA10602704,SE677380-146691,Rättvik,2031
WA10610566,SE703617-158303,Örnsköldsvik,2284
WA10613524,SE734638-173679,Boden,2582
WA10632217,SE750649-162434,Gällivare,2523
WA10635615,SE716568-174542,Skellefteå,2482
WA10643070,SE687963-139343,Härjedalen,2361
WA10648623,SE645305-150033,Kinda,0513
WA10648623,SE645305-150033,Åtvidaberg,0561
WA10649992,SE702076-151269,Ragunda,2303
WA10650334,SE758700-159520,Kiruna,2584
WA10651683,SE685661-132844,Älvdalen,2039
WA10670123,SE748545-183427,Pajala,2521
WA10677637,SE720452-726833,Norsjö,2417
WA10677659,SE668464-148520,Säter,2082
WA10679021,SE745124-169630,Gällivare,2523
WA10688996,SE727649-154443,Sorsele,2422
WA10695555,SE648933-503589,Motala,0583
WA10699024,SE664764-140348,Filipstad,1782
WA10701552,SE724141-158186,Sorsele,2422
WA10706649,SE685869-151608,Ljusdal,2161
WA10708949,SE689202-571336,Hudiksvall,2184
WA10708949,SE689202-571336,Nordanstig,2132
WA10710545,SE659830-144397,Nora,1884
WA10715492,SE680740-144010,Orsa,2034
WA10716666,SE668248-156207,Heby,0331
WA10717015,SE680356-146437,Rättvik,2031
WA10717523,SE701992-149407,Ragunda,2303
WA10726545,SE762636-169382,Kiruna,2584
WA10741185,SE662225-681867,Norrtälje,0188
WA10746927,SE698062-138214,Berg,2326
WA10768061,SE669872-146735,Borlänge,2081
WA10769306,SE699415-134624,Åre,2321
WA10769749,SE696244-131691,Härjedalen,2361
WA10773987,SE711777-167113,Vindeln,2404
WA10782097,SE757455-176820,Kiruna,2584
WA10795495,SE747137-169797,Gällivare,2523
WA10797743,SE690391-151269,Ljusdal,2161
WA10797743,SE690391-151269,Nordanstig,2132
WA10797743,SE690391-151269,Ånge,2260
WA10799036,SE689547-145996,Härjedalen,2361
WA10804403,SE718488-673205,Lycksele,2481
WA10807576,SE672018-148782,Falun,2080
WA10809663,SE722074-156803,Storuman,2421
WA10817791,SE692065-139132,Härjedalen,2361
WA10819810,SE698915-158921,Kramfors,2282
WA10826817,SE712069-156662,Åsele,2463
WA10832812,SE744942-171213,Gällivare,2523
WA10841210,SE687204-142760,Härjedalen,2361
WA10843224,SE724913-167133,Arvidsjaur,2505
WA10843631,SE705574-164615,Örnsköldsvik,2284
WA10847968,SE651323-143709,Askersund,1882
WA10852846,SE655397-317541,Dals-Ed,1438
WA10863844,SE693700-132411,Härjedalen,2361
WA10871465,SE713181-170209,Vindeln,2404
WA10871667,SE736022-160535,Arjeplog,2506
WA10877723,SE686824-135785,Älvdalen,2039
WA10884704,SE673540-148081,Falun,2080
WA10887618,SE639868-154010,Västervik,0883
WA10906203,SE698330-142359,Berg,2326
WA10921643,SE696662-138040,Berg,2326
WA10931520,SE746794-154301,Jokkmokk,2510
WA10933441,SE724307-167065,Arvidsjaur,2505
WA10936309,SE732963-181084,Kalix,2514
WA10939834,SE744744-156361,Jokkmokk,2510
WA10944723,SE655623-130071,Bengtsfors,1460
WA10952025,SE698465-150242,Bräcke,2305
WA10955163,SE701423-157665,Sollefteå,2283
WA10971054,SE716154-160414,Lycksele,2481
WA10976223,SE669231-153345,Avesta,2084
WA10978445,SE685858-145222,Härjedalen,2361
WA10981259,SE697530-134507,Berg,2326
WA10983317,SE707196-648704,Örnsköldsvik,2284
WA10997703,SE652707-146428,Askersund,1882
WA11001451,SE665000-152415,Sala,1981
WA11003561,SE646880-146341,Boxholm,0560
WA11003561,SE646880-146341,Mjölby,0586
WA11006897,SE654453-123353,Strömstad,1486
WA11024196,SE671010-589124,Sandviken,2181
WA11028205,SE716816-172652,Skellefteå,2482
WA11040490,SE731234-161551,Arjeplog,2506
WA11047829,SE705078-137747,Åre,2321
WA11049833,SE719194-539587,Vilhelmina,2462
WA11061884,SE683671-143269,Ljusdal,2161
WA11071729,SE698206-161600,Kramfors,2282
WA11072170,SE756657-166979,Kiruna,2584
WA11072533,SE719539-173742,Skellefteå,2482
WA11076123,SE667520-144758,Ludvika,2085
WA11077860,SE730991-178392,Luleå,2580
WA11082669,SE709715-139147,Krokom,2309
WA11090135,SE731669-165087,Arvidsjaur,2505
WA11092797,SE750573-181954,Pajala,2521
WA11100123,SE681115-148402,Ovanåker,2121
WA11102523,SE640697-153510,Västervik,0883
WA11102941,SE637928-148028,Eksjö,0686
WA11102941,SE637928-148028,Vetlanda,0685
WA11103403,SE700495-132921,Åre,2321
WA11104600,SE732970-174540,Boden,2582
WA11106690,SE760834-168545,Kiruna,2584
WA11108256,SE703760-144936,Östersund,2380
WA11108924,SE666317-140614,Filipstad,1782
WA11126364,SE732335-145659,Storuman,2421
WA11135237,SE640357-167483,Gotland,0980
WA11136180,SE710720-153096,Strömsund,2313
WA11148106,SE732453-172407,Boden,2582
WA11151611,SE652138-139622,Mariestad,1493
WA11155972,SE714418-171417,Skellefteå,2482
WA11155972,SE714418-171417,Umeå,2480
WA11156848,SE675303-157596,Gävle,2180
WA11157990,SE684506-143638,Ljusdal,2161
WA11163516,SE725682-535988,Storuman,2421
WA11168619,SE722019-156083,Storuman,2421
WA11168883,SE712515-709550,Vindeln,2404
WA11169844,SE703854-151827,Sollefteå,2283
WA11170067,SE660418-153072,Hallstahammar,1961
WA11170067,SE660418-153072,Västerås,1980
WA11180016,SE726262-174882,Piteå,2581
WA11182140,SE627855-151630,Kalmar,0880
WA11185494,SE655922-129741,Bengtsfors,1460
WA11191973,SE644843-132324,Essunga,1445
WA11195896,SE734463-176117,Boden,2582
WA11223893,SE700285-152281,Ragunda,2303
WA11225437,SE694520-135332,Härjedalen,2361
WA11237412,SE706110-144865,Krokom,2309
WA11243969,SE722022-144444,Vilhelmina,2462
WA11245178,SE693396-150873,Ånge,2260
WA11245810,SE643181-147991,Kinda,0513
WA11246988,SE722024-159814,Storuman,2421
WA11256675,SE709635-147345,Strömsund,2313
WA11257904,SE727271-168538,Piteå,2581
WA11267033,SE676221-155987,Gävle,2180
WA11268798,SE644792-135154,Falköping,1499
WA11275921,SE698045-136778,Berg,2326
WA11282145,SE669660-149284,Säter,2082
WA11298141,SE663285-131247,Arvika,1784
WA11300356,SE666629-557959,Norberg,1962
WA11306244,SE626992-145611,Tingsryd,0763
WA11310549,SE737715-184201,Övertorneå,2518
WA11324848,SE666934-147700,Smedjebacken,2061
WA11326506,SE760580-160607,Kiruna,2584
WA11327487,SE685930-557855,Ljusdal,2161
WA11327633,SE662651-536414,Skinnskatteberg,1904
WA11328244,SE712352-143167,Krokom,2309
WA11332787,SE652739-128006,Bengtsfors,1460
WA11332787,SE652739-128006,Dals-Ed,1438
WA11332787,SE652739-128006,Färgelanda,1439
WA11358802,SE736222-158662,Arjeplog,2506
WA11365811,SE736846-166985,Jokkmokk,2510
WA11376414,SE760402-160876,Kiruna,2584
WA11379545,SE628545-133213,Halmstad,1380
WA11380362,SE719212-144882,Strömsund,2313
WA11382900,SE640834-140848,Jönköping,0680
WA11389873,SE688695-143945,Härjedalen,2361
WA11394743,SE658294-553566,Arboga,1984
WA11395546,SE664664-129682,Eda,1730
WA11395546,SE664664-129682,Eidskog,N420
WA11402175,SE659274-135708,Karlstad,1780
WA11414647,SE721048-143255,Strömsund,2313
WA11415106,SE743065-586017,Arjeplog,2506
WA11423614,SE652789-130891,Mellerud,1461
WA11427511,SE625630-132838,Laholm,1381
WA11429096,SE704517-133198,Åre,2321
WA11430807,SE647710-145244,Mjölby,0586
WA11430807,SE647710-145244,Motala,0583
WA11430807,SE647710-145244,Vadstena,0584
WA11440875,SE693171-132197,Härjedalen,2361
WA11443702,SE723710-147678,Vilhelmina,2462
WA11445715,SE750722-164195,Gällivare,2523
WA11457510,SE711608-148531,Strömsund,2313
WA11458464,SE642275-137395,Ulricehamn,1491
WA11468418,SE637192-145995,Vetlanda,0685
WA11474425,SE711939-164066,Lycksele,2481
WA11484675,SE724285-176367,Piteå,2581
WA11490632,SE716169-173183,Skellefteå,2482
WA11513688,SE672151-141859,Vansbro,2021
WA11519201,SE692680-142789,Berg,2326
WA11529482,SE651395-150132,Finspång,0562
WA11532249,SE703152-160718,Örnsköldsvik,2284
WA11534275,SE720742-145190,Dorotea,2425
WA11555485,SE757051-175983,Kiruna,2584
WA11559289,SE732462-178650,Luleå,2580
WA11571512,SE654242-130532,Bengtsfors,1460
WA11571512,SE654242-130532,Åmål,1492
WA11571542,SE697180-142397,Berg,2326
WA11574316,SE701608-140168,Åre,2321
WA11575051,SE655850-163256,Haninge,0136
WA11575051,SE655850-163256,Huddinge,0126
WA11583834,SE698247-157332,Kramfors,2282
WA11583834,SE698247-157332,Sollefteå,2283
WA11585904,SE679282-149659,Ovanåker,2121
WA11588725,SE707386-152425,Strömsund,2313
WA11589303,SE714871-146260,Strömsund,2313
WA11604033,SE744911-178311,Pajala,2521
WA11605403,SE726258-159489,Sorsele,2422
WA11626972,SE712159-145799,Strömsund,2313
WA11631056,SE623921-145624,Ronneby,1081
WA11642296,SE653580-124138,Strömstad,1486
WA11642296,SE653580-124138,Tanum,1435
WA11654377,SE667568-144449,Ludvika,2085
WA11669673,SE662902-129133,Eda,1730
WA11670060,SE660670-161573,Sigtuna,0191
WA11670060,SE660670-161573,Upplands-Väsby,0114
WA11671749,SE729274-836392,Luleå,2580
WA11678891,SE750661-585840,Jokkmokk,2510
WA11702107,SE668217-152297,Avesta,2084
WA11702107,SE668217-152297,Hedemora,2083
WA11703437,SE741714-174466,Gällivare,2523
WA11717008,SE742439-177263,Gällivare,2523
WA11719808,SE680738-145986,Orsa,2034
WA11719808,SE680738-145986,Rättvik,2031
WA11722729,SE702845-165895,Örnsköldsvik,2284
WA11726256,SE737251-160527,Arjeplog,2506
WA11736039,SE727658-158025,Sorsele,2422
WA11736371,SE706475-139586,Krokom,2309
WA11738519,SE694152-136135,Härjedalen,2361
WA11744326,SE715688-146674,Strömsund,2313
WA11747430,SE729238-794913,Luleå,2580
WA11747430,SE729238-794913,Piteå,2581
WA11747788,SE728137-711461,Arvidsjaur,2505
WA11771448,SE766158-169223,Kiruna,2584
WA11778884,SE713145-148110,Strömsund,2313
WA11784111,SE639167-553282,Vimmerby,0884
WA11788735,SE736079-162986,Arjeplog,2506
WA11788735,SE736079-162986,Jokkmokk,2510
WA11796246,SE696632-143435,Berg,2326
WA11801841,SE643378-444957,Tidaholm,1498
WA11813426,SE627199-375377,Halmstad,1380
WA11813426,SE627199-375377,Laholm,1381
WA11818921,SE723956-169915,Skellefteå,2482
WA11832016,SE642976-356390,Alingsås,1489
WA11832016,SE642976-356390,Vårgårda,1442
WA11838747,SE690240-135078,Härjedalen,2361
WA11847448,SE725402-589833,Sorsele,2422
WA11849469,SE684218-147647,Ljusdal,2161
WA11879285,SE654368-154579,Flen,0482
WA11884412,SE652281-154074,Katrineholm,0483
WA11885444,SE717174-144133,Strömsund,2313
WA11888984,SE712335-636547,Åsele,2463
WA11894219,SE655574-141145,Degerfors,1862
WA11894219,SE655574-141145,Kristinehamn,1781
WA11906050,SE634262-545279,Hultsfred,0860
WA11906050,SE634262-545279,Högsby,0821
WA11908409,SE709846-145417,Krokom,2309
WA11914890,SE697717-139085,Berg,2326
WA11915510,SE666830-151744,Avesta,2084
WA11915510,SE666830-151744,Norberg,1962
WA11917854,SE736867-156174,Arjeplog,2506
WA11920056,SE719316-170597,Skellefteå,2482
WA11920865,SE698275-133544,Berg,2326
WA11925527,SE732112-146097,Storuman,2421
WA11931018,SE702561-160420,Örnsköldsvik,2284
WA11935467,SE724540-160139,Sorsele,2422
WA11935716,SE650967-143286,Karlsborg,1446
WA11936183,SE665396-479679,Ludvika,2085
WA11954777,SE727225-788867,Piteå,2581
WA11966059,SE716728-168399,Vindeln,2404
WA11967505,SE679013-143744,Orsa,2034
WA11979240,SE655896-146260,Kumla,1881
WA11979240,SE655896-146260,Örebro,1880
WA11981512,SE705603-159170,Örnsköldsvik,2284
WA11982060,SE738050-587287,Arjeplog,2506
WA11985793,SE657812-143053,Karlskoga,1883
WA11986100,SE686602-153798,Hudiksvall,2184
WA11993491,SE706540-138226,Åre,2321
WA12000498,SE694043-155311,Sundsvall,2281
WA12003102,SE693596-151614,Ånge,2260
WA12013173,SE747426-170111,Gällivare,2523
WA12015979,SE739211-162962,Jokkmokk,2510
WA12020901,SE655119-129643,Bengtsfors,1460
WA12026226,SE705599-136480,Åre,2321
WA12030649,SE659794-139386,Karlstad,1780
WA12032888,SE693790-146209,Ånge,2260
WA12035857,SE677877-150596,Ovanåker,2121
WA12040750,SE678323-138552,Älvdalen,2039
WA12046224,SE623650-132375,Klippan,1276
WA12046224,SE623650-132375,Ängelholm,1292
WA12048237,SE738485-546456,Arjeplog,2506
WA12063517,SE723846-147833,Vilhelmina,2462
WA12073200,SE637816-150878,Hultsfred,0860
WA12073200,SE637816-150878,Vimmerby,0884
WA12073304,SE707104-164198,Örnsköldsvik,2284
WA12077251,SE672445-376629,Torsby,1737
WA12082612,SE699675-433097,Berg,2326
WA12082612,SE699675-433097,Åre,2321
WA12085259,SE625412-132955,Laholm,1381
WA12086353,SE704185-164881,Örnsköldsvik,2284
WA12087621,SE695855-150254,Bräcke,2305
WA12089249,SE719133-146717,Dorotea,2425
WA12100407,SE701641-131289,Åre,2321
WA12109637,SE683049-150649,Ljusdal,2161
WA12115411,SE753262-810947,Kiruna,2584
WA12133084,SE717431-168251,Skellefteå,2482
WA12133084,SE717431-168251,Vindeln,2404
WA12135010,SE656901-131686,Säffle,1785
WA12135290,SE637570-135218,Tranemo,1452
WA12143513,SE684636-133123,Älvdalen,2039
WA12154979,SE671918-151558,Säter,2082
WA12171926,SE699697-151981,Ragunda,2303
WA12175975,SE707528-153083,Strömsund,2313
WA12184171,SE705576-145582,Krokom,2309
WA12184171,SE705576-145582,Strömsund,2313
WA12192169,SE707859-152157,Strömsund,2313
WA12202003,SE705847-133005,Åre,2321
WA12219941,SE654755-123743,Strömstad,1486
WA12224542,SE690642-132102,Älvdalen,2039
WA12233726,SE698732-134282,Berg,2326
WA12233726,SE698732-134282,Åre,2321
WA12247220,SE744611-178868,Pajala,2521
WA12249038,SE717763-170450,Skellefteå,2482
WA12255999,SE689767-515324,Härjedalen,2361
WA12265435,SE685192-153848,Hudiksvall,2184
WA12270207,SE746305-155263,Jokkmokk,2510
WA12272586,SE683545-600546,Hudiksvall,2184
WA12274472,SE716661-163137,Lycksele,2481
WA12276043,SE716764-174750,Skellefteå,2482
WA12291949,SE745554-169654,Gällivare,2523
WA12299217,SE662053-156448,Enköping,0381
WA12304618,SE675775-148593,Rättvik,2031
WA12304781,SE707242-151339,Strömsund,2313
WA12331376,SE628576-151165,Kalmar,0880
WA12331376,SE628576-151165,Nybro,0881
WA12336797,SE682435-155137,Hudiksvall,2184
WA12339031,SE720688-165505,Norsjö,2417
WA12340267,SE747024-155696,Jokkmokk,2510
WA12341512,SE720111-728659,Norsjö,2417
WA12354227,SE647609-139593,Skövde,1496
WA12364521,SE750182-154963,Jokkmokk,2510
WA12370059,SE673932-144499,Leksand,2029
WA12377585,SE700029-163440,Kramfors,2282
WA12377585,SE700029-163440,Örnsköldsvik,2284
WA12377729,SE730816-145205,Storuman,2421
WA12384900,SE650907-130059,Mellerud,1461
WA12390552,SE711688-158200,Åsele,2463
WA12398574,SE749626-173371,Gällivare,2523
WA12402872,SE663073-146367,Lindesberg,1885
WA12407687,SE694792-148514,Bräcke,2305
WA12422355,SE684064-152626,Ljusdal,2161
WA12429044,SE653263-125680,Tanum,1435
WA12429232,SE723409-176775,Piteå,2581
WA12443398,SE678851-157094,Söderhamn,2182
WA12450599,SE712468-168383,Vindeln,2404
WA12457203,SE706481-151270,Sollefteå,2283
WA12457203,SE706481-151270,Strömsund,2313
WA12458728,SE700731-135562,Åre,2321
WA12467015,SE749153-165234,Gällivare,2523
WA12467723,SE663827-462843,Filipstad,1782
WA12472196,SE668945-149725,Säter,2082
WA12472284,SE696570-159678,Härnösand,2280
WA12493074,SE707518-150984,Strömsund,2313
WA12497352,SE696565-131897,Berg,2326
WA12497352,SE696565-131897,Härjedalen,2361
WA12502356,SE637173-165760,Gotland,0980
WA12512503,SE700994-139215,Åre,2321
WA12523690,SE724526-604382,Sorsele,2422
WA12526883,SE669953-142208,Vansbro,2021
WA12530001,SE636749-561395,Hultsfred,0860
WA12530984,SE675248-523657,Rättvik,2031
WA12533470,SE750020-164203,Gällivare,2523
WA12548230,SE634704-151548,Hultsfred,0860
WA12548230,SE634704-151548,Högsby,0821
WA12548230,SE634704-151548,Oskarshamn,0882
WA12560133,SE653884-336477,Bengtsfors,1460
WA12572545,SE748600-179071,Pajala,2521
WA12575047,SE693952-148337,Ånge,2260
WA12575814,SE699045-155925,Sollefteå,2283
WA12578384,SE710716-142172,Krokom,2309
WA12580926,SE713013-174499,Robertsfors,2409
WA12582577,SE686146-480491,Härjedalen,2361
WA12586946,SE705444-162286,Örnsköldsvik,2284
WA12587381,SE630443-143479,Växjö,0780
WA12592446,SE705018-132474,Åre,2321
WA12593475,SE727449-155815,Sorsele,2422
WA12600731,SE696893-132496,Berg,2326
WA12625255,SE750829-154818,Jokkmokk,2510
WA12626387,SE665936-137895,Hagfors,1783
WA12627567,SE673983-156033,Gävle,2180
WA12650708,SE628127-521612,Lessebo,0761
WA12654113,SE662270-165043,Norrtälje,0188
WA12656065,SE631221-139251,Ljungby,0781
WA12665549,SE720974-146542,Vilhelmina,2462
WA12666850,SE663023-134308,Sunne,1766
WA12679259,SE724171-151176,Vilhelmina,2462
WA12687159,SE629618-153533,Kalmar,0880
WA12692132,SE711208-158566,Åsele,2463
WA12693912,SE659226-148670,Lindesberg,1885
WA12698175,SE674417-156540,Gävle,2180
WA12711888,SE666925-162493,Östhammar,0382
WA12712609,SE704589-139438,Krokom,2309
WA12731751,SE727605-160963,Arjeplog,2506
WA12731751,SE727605-160963,Arvidsjaur,2505
WA12731751,SE727605-160963,Sorsele,2422
WA12735420,SE662248-151794,Surahammar,1907
WA12737498,SE640224-138043,Jönköping,0680
WA12770773,SE711515-142762,Krokom,2309
WA12771346,SE719115-158346,Storuman,2421
WA12781140,SE651170-554134,Finspång,0562
WA12783105,SE718044-145383,Strömsund,2313
WA12802715,SE651995-462820,Gullspång,1447
WA12802715,SE651995-462820,Töreboda,1473
WA12835224,SE678127-154469,Bollnäs,2183
WA12845484,SE696655-137230,Berg,2326
WA12845968,SE725297-149012,Vilhelmina,2462
WA12852194,SE685036-156560,Hudiksvall,2184
WA12852412,SE706924-140588,Krokom,2309
WA12870597,SE640186-138999,Jönköping,0680
WA12870597,SE640186-138999,Vaggeryd,0665
WA12871281,SE661489-461145,Filipstad,1782
WA12872034,SE699152-150481,Bräcke,2305
WA12874050,SE686007-134610,Älvdalen,2039
WA12907497,SE704357-152265,Sollefteå,2283
WA12908889,SE635914-141894,Sävsjö,0684
WA12914155,SE643756-140257,Habo,0643
WA12916210,SE739466-177299,Gällivare,2523
WA12916259,SE690782-136190,Härjedalen,2361
WA12926869,SE646125-125837,Orust,1421
WA12934184,SE687547-153403,Hudiksvall,2184
WA12938066,SE721283-142614,Strömsund,2313
WA12945281,SE745603-162866,Jokkmokk,2510
WA12945558,SE630298-147711,Lessebo,0761
WA12949042,SE713053-170436,Vindeln,2404
WA12955406,SE681075-137983,Älvdalen,2039
WA12955460,SE724942-159930,Sorsele,2422
WA12958269,SE672457-156927,Gävle,2180
WA12970548,SE693288-144970,Berg,2326
WA12970548,SE693288-144970,Ånge,2260
WA12973677,SE712292-142437,Krokom,2309
WA12980424,SE730322-144898,Storuman,2421
WA12989713,SE662798-136067,Sunne,1766
WA12990714,SE750282-164272,Gällivare,2523
WA12996063,SE683164-156181,Hudiksvall,2184
WA13002645,SE727517-716056,Arvidsjaur,2505
WA13008740,SE715654-159530,Lycksele,2481
WA13008740,SE715654-159530,Vilhelmina,2462
WA13008740,SE715654-159530,Åsele,2463
WA13012965,SE686949-157408,Nordanstig,2132
WA13015353,SE693004-148834,Ånge,2260
WA13033746,SE673439-150379,Falun,2080
WA13037358,SE707001-169277,Nordmaling,2401
WA13039743,SE691912-137799,Härjedalen,2361
WA13049747,SE683278-138787,Älvdalen,2039
WA13054347,SE753139-154379,Jokkmokk,2510
WA13059169,SE743653-169274,Gällivare,2523
WA13068954,SE667996-562440,Avesta,2084
WA13068954,SE667996-562440,Hedemora,2083
WA13069187,SE710588-152200,Strömsund,2313
WA13070655,SE633379-136730,Gislaved,0662
WA13070655,SE633379-136730,Värnamo,0683
WA13076233,SE752169-173916,Kiruna,2584
WA13077236,SE738634-178555,Överkalix,2513
WA13083202,SE701154-141107,Åre,2321
WA13085221,SE745055-176583,Gällivare,2523
WA13091474,SE730932-174822,Boden,2582
WA13095194,SE708679-164162,Bjurholm,2403
WA13106824,SE700685-134686,Åre,2321
WA13107914,SE695307-151612,Ånge,2260
WA13111297,SE705966-544661,Sollefteå,2283
WA13111297,SE705966-544661,Strömsund,2313
WA13121007,SE682932-152367,Bollnäs,2183
WA13121574,SE726400-176028,Piteå,2581
WA13126762,SE735149-151910,Arjeplog,2506
WA13128144,SE746463-163938,Jokkmokk,2510
WA13130374,SE715287-157045,Vilhelmina,2462
WA13130864,SE674752-142081,Mora,2062
WA13133928,SE678855-570066,Bollnäs,2183
WA13148827,SE692404-148265,Ånge,2260
WA13151172,SE749172-171679,Gällivare,2523
WA13153102,SE645970-130714,Alingsås,1489
WA13153102,SE645970-130714,Essunga,1445
WA13153102,SE645970-130714,Trollhättan,1488
WA13160849,SE649199-126330,Munkedal,1430
WA13162462,SE663532-523976,Lindesberg,1885
WA13162462,SE663532-523976,Skinnskatteberg,1904
WA13162587,SE664679-138045,Hagfors,1783
WA13164849,SE724227-161048,Malå,2418
WA13164849,SE724227-161048,Sorsele,2422
WA13170948,SE677320-138446,Mora,2062
WA13170948,SE677320-138446,Älvdalen,2039
WA13182128,SE635391-128287,Varberg,1383
WA13191095,SE748773-175723,Gällivare,2523
WA13193317,SE709493-159028,Åsele,2463
WA13200811,SE679274-150500,Ovanåker,2121
WA13205960,SE723100-164386,Malå,2418
WA13209096,SE715007-727031,Vindeln,2404
