Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,EQR8,AindexW5,EindexW3
WA55412723,SE620062-135224,Hela sjön,Hela sjön,13.44218,55.91165,2014-09-16,,SLU,,0.2836512292,0.6242162765,0.0817076336
WA55412723,SE620062-135224,Hela sjön,Hela sjön,13.44218,55.91165,2015-09-15,,SLU,,0.3191094204,0.6062270199,0.081439419
WA55412723,SE620062-135224,Hela sjön,Hela sjön,13.44218,55.91165,2016-09-13,,SLU,,0.2741482451,0.6494788045,0.0493407588
WA55412723,SE620062-135224,Hela sjön,Hela sjön,13.44218,55.91165,2017-09-11,,SLU,,0.3073613435,0.5610412063,0.1256081068
WA78377112,NW620170-139129,Hela sjön,Hela sjön,14.06437,55.93298,1997-07-07,,SLU,,0.4140178695,0.8033074084,0.0970678714
WA78377112,NW620170-139129,Hela sjön,Hela sjön,14.06437,55.93298,2003-07-22,,SLU,,0.5615540303,0.7772901476,0.2813383102
WA18081336,SE620406-140165,Hela sjön,Hela sjön,14.23069,55.95517,2007-08-06,,SLU,,0.2791168911,0.4578223954,0.6359341405
WA18081336,SE620406-140165,Hela sjön,Hela sjön,14.23069,55.95517,2010-08-11,,SLU,,0.2611607354,0.6800102133,0.2529595263
WA24063725,NW620576-137141,Hela sjön,Hela sjön,13.75287,55.96789,2003-08-27,,SLU,,0.3293437019,0.781434623,0.2313724595
WA24063725,NW620576-137141,Hela sjön,Hela sjön,13.75287,55.96789,2011-08-18,,SLU,,0.5853700269,0.7470581106,0.2327464231
WA24063725,NW620576-137141,Hela sjön,Hela sjön,13.75287,55.96789,2013-08-14,,SLU,,0.4465167868,0.7491159331,0.2199336237
WA96740829,NW620933-135544,Hela sjön,Hela sjön,13.48148,55.99245,1998-07-26,,SLU,,0.4245974286,0.5245178842,0.2670479597
WA96740829,NW620933-135544,Hela sjön,Hela sjön,13.48148,55.99245,2016-08-01,,SLU,,0.504684919,0.736494782,0.1094094466
WA74854394,NW620953-136332,Hela sjön,Hela sjön,13.62672,55.99797,2017-08-27,,SLU,,0.4248061498,0.8050114341,0.1121621598
WA60783631,SE621588-139496,Hela sjön,Hela sjön,14.11567,56.04859,2007-07-30,,SLU,,0.2596070343,0.2855825908,0.7375545832
WA28304930,NW621762-139572,Hela sjön,Hela sjön,14.11567,56.04859,2010-08-08,,SLU,,0.2817282487,0.5977253132,0.4756643827
WA60318598,SE621689-142202,Hela sjön,Hela sjön,14.5543,56.06828,2006-09-01,,SLU,,0.5806753436,0.6922714787,0.0402330784
WA17665542,SE621669-141629,Hela sjön,Hela sjön,14.46107,56.07134,2003-08-05,,SLU,,0.4201479217,0.5489048129,0.354296292
WA17665542,SE621669-141629,Hela sjön,Hela sjön,14.46107,56.07134,2007-08-01,,SLU,,0.3600119095,0.4044546651,0.5973753334
WA17665542,SE621669-141629,Hela sjön,Hela sjön,14.46107,56.07134,2012-07-31,,SLU,,0.4411672308,0.4625250052,0.6020440365
WA17665542,SE621669-141629,Hela sjön,Hela sjön,14.46107,56.07134,2017-07-31,,SLU,,0.3652699327,0.4011632199,0.3814701351
WA47448878,SE621766-140032,Hela sjön,Hela sjön,14.20438,56.07699,2010-08-16,,SLU,,0.3659557586,0.4194524947,0.3085922415
WA35582064,NW621974-134428,Hela sjön,Hela sjön,13.30394,56.0807,2003-07-17,,SLU,,0.1535119807,0.071786144,0.9959162185
WA35582064,NW621974-134428,Hela sjön,Hela sjön,13.30394,56.0807,2006-07-18,,SLU,,0.2812418508,0.2079721793,0.9799980347
WA97359144,SE622084-141784,Hela sjön,Hela sjön,14.48468,56.10887,2000-06-25,,SLU,,0.605212001,0.4576431196,0.185981679
WA82273865,NW622129-134379,Hela sjön,Hela sjön,13.29185,56.09861,2013-07-29,,SLU,,0.5640344437,0.6792722096,0.0777358135
WA20301614,NW622291-135956,Hela sjön,Hela sjön,13.55303,56.11282,2002-08-05,,SLU,,0.3946048182,0.8392704798,0.0217087763
WA20301614,NW622291-135956,Hela sjön,Hela sjön,13.55303,56.11282,2005-07-07,,SLU,,0.4638358471,0.754269293,0.0865460859
WA20301614,NW622291-135956,Hela sjön,Hela sjön,13.55303,56.11282,2008-07-07,,SLU,,0.7484763574,0.4501455445,0.3530191454
WA20301614,NW622291-135956,Hela sjön,Hela sjön,13.55303,56.11282,2011-07-14,,SLU,,0.7514090419,0.4053497896,0.2704001745
WA20301614,NW622291-135956,Hela sjön,Hela sjön,13.55303,56.11282,2017-07-21,,SLU,,0.5861604267,0.441264258,0.3397007262
WA93714419,SE622349-135317,Hela sjön,Hela sjön,13.46451,56.11664,1998-07-20,,SLU,,0.1979875385,0.3608299938,0.8496086467
WA93714419,SE622349-135317,Hela sjön,Hela sjön,13.46451,56.11664,2001-07-31,,SLU,,0.4118613544,0.5538043012,0.543931623
WA93714419,SE622349-135317,Hela sjön,Hela sjön,13.46451,56.11664,2007-07-25,,SLU,,0.2587518352,0.4744198252,0.7597076144
WA58377115,NW622370-135595,Hela sjön,Hela sjön,13.48791,56.12347,1996-07-31,,SLU,,0.4387876659,0.6861144886,0.2499030227
WA58377115,NW622370-135595,Hela sjön,Hela sjön,13.48791,56.12347,1999-07-21,,SLU,,0.3623346632,0.5076907602,0.5338136298
WA58377115,NW622370-135595,Hela sjön,Hela sjön,13.48791,56.12347,2002-08-06,,SLU,,0.4678549179,0.626404519,0.4288257787
WA58377115,NW622370-135595,Hela sjön,Hela sjön,13.48791,56.12347,2005-08-04,,SLU,,0.4776978821,0.5875966185,0.3955512913
WA58377115,NW622370-135595,Hela sjön,Hela sjön,13.48791,56.12347,2012-07-23,,SLU,,0.4884734032,0.4695923125,0.6089369473
WA68614714,NW622401-135450,Hela sjön,Hela sjön,13.47384,56.12455,2010-07-12,,SLU,,0.4503499223,0.7926272258,0.2423235301
WA68614714,NW622401-135450,Hela sjön,Hela sjön,13.47384,56.12455,2014-07-28,,SLU,,0.4796458198,0.7093897467,0.2850369978
WA92649371,SE622564-150339,Hela sjön,Hela sjön,15.85544,56.15257,1999-08-04,,SLU,,0.3846301264,0.2348187313,0.4670286978
WA92649371,SE622564-150339,Hela sjön,Hela sjön,15.85544,56.15257,2006-08-30,,SLU,,0.346870832,0.2658061874,0.7702685938
,,Hela sjön,Hela sjön,14.55725,56.16603,1998-07-13,,SLU,,0.6205856882,0.5911061458,0.450223883
,,Hela sjön,Hela sjön,14.55725,56.16603,2001-08-02,,SLU,,0.4450975918,0.7579050627,0.351468096
,,Hela sjön,Hela sjön,14.55725,56.16603,2004-07-14,,SLU,,0.495277525,0.4760609923,0.5367610536
,,Hela sjön,Hela sjön,14.55725,56.16603,2007-07-23,,SLU,,0.2884242417,0.3153476677,0.6396088605
,,Hela sjön,Hela sjön,14.55725,56.16603,2010-07-15,,SLU,,0.4494104675,0.6357432412,0.4410104876
,,Hela sjön,Hela sjön,14.55725,56.16603,2013-07-16,,SLU,,0.5756978372,0.5208360511,0.5353560201
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,1994-09-14,,SLU,,0.5292295911,0.7484507108,0.1651295922
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2008-09-09,,SLU,,0.5020488459,0.446225063,0.3782051667
